split,class,H,C,V,HF,HI,severity
train,正常,1.4620791673660278,0.9672824740409851,1.0264943838119507,0.46715646982192993,47.69626998901367,0
train,正常,1.4673842191696167,0.9641861319541931,0.8858882784843445,0.7837232351303101,49.029998779296875,0
train,正常,1.429307222366333,0.9653525948524475,1.2315351963043213,0.5435455441474915,47.330299377441406,0
train,正常,1.2301796674728394,0.945926308631897,1.3918707370758057,0.11600007861852646,37.58908462524414,0
train,正常,1.2746899127960205,0.9520236253738403,0.7474400997161865,0.3054887652397156,38.44528579711914,0
train,正常,1.2922450304031372,0.9446475505828857,0.7964094877243042,0.27789556980133057,39.125205993652344,0
train,正常,1.231071949005127,0.9214935302734375,0.7831326127052307,0.09592114388942719,35.719749450683594,0
train,正常,1.165810227394104,0.9067915678024292,0.8264588117599487,0.09562742710113525,33.579654693603516,0
train,正常,1.200224757194519,0.9061540961265564,0.8874236941337585,0.1059512346982956,35.03170394897461,0
train,正常,0.9733564853668213,0.890303909778595,0.8148232102394104,0.15985707938671112,28.221158981323242,0
train,正常,0.7534085512161255,0.8389675617218018,1.1792255640029907,0.08409695327281952,24.354814529418945,0
train,正常,0.7999348640441895,0.8405926823616028,0.7681419253349304,0.08728034794330597,23.884262084960938,0
train,正常,0.9149876236915588,0.8445747494697571,0.858060896396637,0.0795670598745346,26.47564697265625,0
train,正常,1.1352241039276123,0.850716769695282,0.9327173233032227,0.17584170401096344,33.407649993896484,0
train,正常,1.3089996576309204,0.8839185833930969,1.1239668130874634,0.14861340820789337,40.039005279541016,0
train,正常,1.2964116334915161,0.889778733253479,0.942970335483551,0.055121101438999176,38.434085845947266,0
train,正常,1.333579182624817,0.8949400782585144,0.9646100401878357,0.09586907923221588,40.19822311401367,0
train,正常,1.3807520866394043,0.8974596261978149,0.8007858991622925,0.1743844449520111,42.01685333251953,0
train,正常,1.5146349668502808,0.9284928441047668,1.0564459562301636,0.42798155546188354,49.741355895996094,0
train,正常,1.5883140563964844,0.9549455046653748,0.9520041942596436,0.1759510040283203,50.996952056884766,0
train,正常,1.6651599407196045,0.9595211148262024,1.1305646896362305,0.14694884419441223,54.376399993896484,0
train,正常,1.6662451028823853,0.9557991027832031,1.3823320865631104,0.3885582387447357,56.471153259277344,0
train,正常,1.4576153755187988,0.9363659024238586,1.1043277978897095,0.5158848762512207,47.996829986572266,0
train,正常,1.229333758354187,0.9094458222389221,1.0593165159225464,0.14897534251213074,36.86552429199219,0
train,正常,1.1231274604797363,0.9004161357879639,0.8633624315261841,0.06753949075937271,32.1231575012207,0
train,正常,1.132941722869873,0.9065737724304199,0.8516274094581604,0.15840663015842438,32.95812225341797,0
train,正常,1.141565203666687,0.9057234525680542,0.705430269241333,0.16897214949131012,32.79625701904297,0
train,正常,1.1587352752685547,0.8668747544288635,0.8821845054626465,0.10422548651695251,33.58412170410156,0
train,正常,1.1433809995651245,0.861858069896698,0.78151935338974,0.020930469036102295,32.21394729614258,0
train,正常,1.1705876588821411,0.862311840057373,0.6658174991607666,0.03594840317964554,32.80556869506836,0
train,正常,1.211890459060669,0.8960079550743103,0.8597906827926636,0.11800002306699753,35.42816925048828,0
train,正常,1.2413359880447388,0.9035871028900146,0.7429255843162537,0.11112574487924576,36.04802322387695,0
train,正常,1.299117088317871,0.9005540013313293,1.1369059085845947,0.12803009152412415,39.56833267211914,0
train,正常,1.431801199913025,0.9030694365501404,1.0472196340560913,0.1742234081029892,44.87541198730469,0
train,正常,1.481744408607483,0.907080888748169,1.2178750038146973,0.3097571134567261,48.19695281982422,0
train,正常,1.5007805824279785,0.9099595546722412,0.9994240403175354,0.38874757289886475,48.78956985473633,0
train,正常,1.4963444471359253,0.9184787273406982,0.9008417129516602,0.3261463940143585,47.95097351074219,0
train,正常,1.5555721521377563,0.97947758436203,0.8052580952644348,0.08655387163162231,48.645790100097656,0
train,正常,1.7417315244674683,0.9866589903831482,0.7896068096160889,0.5030067563056946,58.12166213989258,0
train,正常,1.7440074682235718,0.9818618893623352,1.0930917263031006,0.6814278960227966,60.05119705200195,0
train,正常,1.6417564153671265,0.9641419649124146,0.60555100440979,0.5264013409614563,53.85307312011719,0
train,正常,1.4096100330352783,0.9508185386657715,0.5422131419181824,0.05635781213641167,41.504398345947266,0
train,正常,1.3446840047836304,0.9502418637275696,0.49272844195365906,0.19225530326366425,39.52891540527344,0
train,正常,1.3216869831085205,0.9389219880104065,0.5368306040763855,0.3005787134170532,39.43144607543945,0
train,正常,1.176409363746643,0.9095015525817871,0.5570571422576904,0.07806292921304703,32.84908676147461,0
train,正常,1.1065893173217773,0.9066388010978699,0.6141658425331116,0.01757216267287731,30.398210525512695,0
train,正常,1.1732620000839233,0.9151023626327515,0.5034656524658203,0.01750214770436287,32.14482879638672,0
